127.0.0.1 - - [18/Sep/2018:12:29:17 +0530] "GET / HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [18/Sep/2018:12:31:49 +0530] "GET /frontendp/home HTTP/1.1" 200 7972
0:0:0:0:0:0:0:1 - - [18/Sep/2018:12:31:49 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [18/Sep/2018:12:31:50 +0530] "GET /frontendp/resources/images/icon1.png HTTP/1.1" 200 22956
0:0:0:0:0:0:0:1 - - [18/Sep/2018:12:31:50 +0530] "GET /frontendp/resources/images/1.jpg HTTP/1.1" 200 186290
0:0:0:0:0:0:0:1 - - [18/Sep/2018:12:31:50 +0530] "GET /frontendp/resources/images/8.jpg HTTP/1.1" 200 435278
0:0:0:0:0:0:0:1 - - [18/Sep/2018:12:31:50 +0530] "GET /frontendp/resources/images/7.jpg HTTP/1.1" 200 280929
0:0:0:0:0:0:0:1 - - [18/Sep/2018:12:31:50 +0530] "GET /frontendp/resources/images/9.jpg HTTP/1.1" 200 664057
0:0:0:0:0:0:0:1 - - [18/Sep/2018:12:31:50 +0530] "GET /frontendp/resources/images/6.jpg HTTP/1.1" 200 948211
0:0:0:0:0:0:0:1 - - [18/Sep/2018:12:31:50 +0530] "GET /frontendp/resources/images/3.jpg HTTP/1.1" 200 760860
0:0:0:0:0:0:0:1 - - [18/Sep/2018:12:31:50 +0530] "GET /frontendp/resources/images/2.jpg HTTP/1.1" 200 257933
0:0:0:0:0:0:0:1 - - [18/Sep/2018:12:37:07 +0530] "GET /frontendp/login HTTP/1.1" 200 3574
0:0:0:0:0:0:0:1 - - [18/Sep/2018:12:37:07 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [18/Sep/2018:12:37:07 +0530] "GET /frontendp/resources/images/icon1.png HTTP/1.1" 200 22956
0:0:0:0:0:0:0:1 - - [18/Sep/2018:12:37:08 +0530] "GET /frontendp/resources/images/icon2.jpg HTTP/1.1" 200 6275
0:0:0:0:0:0:0:1 - - [18/Sep/2018:12:37:13 +0530] "GET /frontendp/all/registrationform HTTP/1.1" 200 8117
0:0:0:0:0:0:0:1 - - [18/Sep/2018:12:37:13 +0530] "GET /frontendp/resources/images/icon1.png HTTP/1.1" 200 22956
0:0:0:0:0:0:0:1 - - [18/Sep/2018:12:37:13 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [18/Sep/2018:12:37:13 +0530] "GET /frontendp/resources/css/registration.css HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [18/Sep/2018:12:38:35 +0530] "POST /frontendp/all/registercustomer HTTP/1.1" 200 3574
