0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:18:52 +0530] "GET /frontendp/all/getallcategories HTTP/1.1" 200 4185
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:18:52 +0530] "GET /frontendp/resources/images/icon1.png HTTP/1.1" 200 22956
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:18:52 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:18:56 +0530] "GET /frontendp/aboutus HTTP/1.1" 200 5190
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:18:56 +0530] "GET /frontendp/resources/images/icon1.png HTTP/1.1" 200 22956
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:18:56 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:18:56 +0530] "GET /frontendp/resources/images/bg3.jpg HTTP/1.1" 200 131027
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:06 +0530] "GET /frontendp/home HTTP/1.1" 200 8417
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:06 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:06 +0530] "GET /frontendp/resources/images/icon1.png HTTP/1.1" 200 22956
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:06 +0530] "GET /frontendp/resources/images/1.jpg HTTP/1.1" 200 186290
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:06 +0530] "GET /frontendp/resources/images/2.jpg HTTP/1.1" 200 257933
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:07 +0530] "GET /frontendp/resources/images/3.jpg HTTP/1.1" 200 760860
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:07 +0530] "GET /frontendp/resources/images/8.jpg HTTP/1.1" 200 435278
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:07 +0530] "GET /frontendp/resources/images/9.jpg HTTP/1.1" 200 664057
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:07 +0530] "GET /frontendp/resources/images/7.jpg HTTP/1.1" 200 280929
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:07 +0530] "GET /frontendp/resources/images/6.jpg HTTP/1.1" 200 948211
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:09 +0530] "GET /frontendp/j_spring_security_logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:09 +0530] "GET /frontendp/logout HTTP/1.1" 200 3819
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:09 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:09 +0530] "GET /frontendp/resources/images/icon1.png HTTP/1.1" 200 22956
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:09 +0530] "GET /frontendp/resources/images/log.jpg HTTP/1.1" 200 123356
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:13 +0530] "GET /frontendp/login HTTP/1.1" 200 3796
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:13 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:13 +0530] "GET /frontendp/resources/images/icon1.png HTTP/1.1" 200 22956
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:13 +0530] "GET /frontendp/resources/images/log.jpg HTTP/1.1" 200 123356
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:24 +0530] "POST /frontendp/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:24 +0530] "GET /frontendp/home HTTP/1.1" 200 8381
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:24 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:24 +0530] "GET /frontendp/resources/images/icon1.png HTTP/1.1" 200 22956
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:24 +0530] "GET /frontendp/resources/images/1.jpg HTTP/1.1" 200 186290
