127.0.0.1 - - [17/Sep/2018:12:04:51 +0530] "GET / HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [17/Sep/2018:12:05:02 +0530] "GET /frontendp/home HTTP/1.1" 200 7666
0:0:0:0:0:0:0:1 - - [17/Sep/2018:12:05:02 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [17/Sep/2018:12:05:02 +0530] "GET /frontendp/resources/images/icon.jpg HTTP/1.1" 200 128982
0:0:0:0:0:0:0:1 - - [17/Sep/2018:12:05:02 +0530] "GET /frontendp/resources/images/1.jpg HTTP/1.1" 200 186290
0:0:0:0:0:0:0:1 - - [17/Sep/2018:12:05:03 +0530] "GET /frontendp/resources/images/2.jpg HTTP/1.1" 200 257933
0:0:0:0:0:0:0:1 - - [17/Sep/2018:12:05:03 +0530] "GET /frontendp/resources/images/7.jpg HTTP/1.1" 200 280929
0:0:0:0:0:0:0:1 - - [17/Sep/2018:12:05:03 +0530] "GET /frontendp/resources/images/9.jpg HTTP/1.1" 200 664057
0:0:0:0:0:0:0:1 - - [17/Sep/2018:12:05:03 +0530] "GET /frontendp/resources/images/8.jpg HTTP/1.1" 200 435278
0:0:0:0:0:0:0:1 - - [17/Sep/2018:12:05:03 +0530] "GET /frontendp/resources/images/3.jpg HTTP/1.1" 200 760860
0:0:0:0:0:0:0:1 - - [17/Sep/2018:12:05:03 +0530] "GET /frontendp/resources/images/6.jpg HTTP/1.1" 200 948211
0:0:0:0:0:0:0:1 - - [17/Sep/2018:12:05:04 +0530] "GET /frontendp/resources/images/icon.jpg HTTP/1.1" 200 128982
0:0:0:0:0:0:0:1 - - [17/Sep/2018:12:05:59 +0530] "GET /frontendp/all/getallcategories HTTP/1.1" 200 3306
0:0:0:0:0:0:0:1 - - [17/Sep/2018:12:05:59 +0530] "GET /frontendp/resources/images/icon.jpg HTTP/1.1" 200 128982
0:0:0:0:0:0:0:1 - - [17/Sep/2018:12:05:59 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [17/Sep/2018:12:06:07 +0530] "GET /frontendp/all/searchByCategory?searchCondition=All HTTP/1.1" 200 3799
0:0:0:0:0:0:0:1 - - [17/Sep/2018:12:06:07 +0530] "GET /frontendp/resources/images/icon.jpg HTTP/1.1" 200 128982
0:0:0:0:0:0:0:1 - - [17/Sep/2018:12:06:07 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [17/Sep/2018:12:06:13 +0530] "GET /frontendp/home HTTP/1.1" 200 7666
0:0:0:0:0:0:0:1 - - [17/Sep/2018:12:06:13 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [17/Sep/2018:12:06:13 +0530] "GET /frontendp/resources/images/icon.jpg HTTP/1.1" 200 128982
0:0:0:0:0:0:0:1 - - [17/Sep/2018:12:06:13 +0530] "GET /frontendp/resources/images/1.jpg HTTP/1.1" 200 186290
0:0:0:0:0:0:0:1 - - [17/Sep/2018:12:06:13 +0530] "GET /frontendp/resources/images/2.jpg HTTP/1.1" 200 257933
0:0:0:0:0:0:0:1 - - [17/Sep/2018:12:06:13 +0530] "GET /frontendp/resources/images/3.jpg HTTP/1.1" 200 760860
0:0:0:0:0:0:0:1 - - [17/Sep/2018:12:06:13 +0530] "GET /frontendp/resources/images/7.jpg HTTP/1.1" 200 280929
0:0:0:0:0:0:0:1 - - [17/Sep/2018:12:06:13 +0530] "GET /frontendp/resources/images/8.jpg HTTP/1.1" 200 435278
0:0:0:0:0:0:0:1 - - [17/Sep/2018:12:06:14 +0530] "GET /frontendp/resources/images/6.jpg HTTP/1.1" 200 948211
0:0:0:0:0:0:0:1 - - [17/Sep/2018:12:06:14 +0530] "GET /frontendp/resources/images/9.jpg HTTP/1.1" 200 664057
